player_name,team,bye,position,position_rank,adp,consensus_adp,overall_rank
Jahmyr Gibbs,DET,6.0,RB,1.0,1.0,1.0,1
Bijan Robinson,ATL,11.0,RB,2.0,2.0,2.0,2
Puka Nacua,LAR,11.0,WR,2.0,3.0,3.8,4
Ja'Marr Chase,CIN,6.0,WR,1.0,4.0,3.2,3
Jaxon Smith-Njigba,SEA,11.0,WR,3.0,5.0,5.8,6
Christian McCaffrey,SF,8.0,RB,3.0,6.0,5.6,5
Jonathan Taylor,IND,13.0,RB,4.0,7.0,6.6,7
Amon-Ra St. Brown,DET,6.0,WR,4.0,8.0,8.2,8
CeeDee Lamb,DAL,14.0,WR,6.0,9.0,11.8,13
Justin Jefferson,MIN,6.0,WR,5.0,10.0,11.6,12
De'Von Achane,MIA,6.0,RB,6.0,11.0,11.0,10
James Cook III,BUF,7.0,RB,5.0,12.0,10.8,9
Saquon Barkley,PHI,10.0,RB,8.0,13.0,14.8,14
Ashton Jeanty,LV,13.0,RB,7.0,14.0,11.2,11
Trey McBride,ARI,14.0,TE,1.0,15.0,20.2,18
Jeremiyah Love,ARI,14.0,RB,13.0,16.0,23.4,23
Drake London,ATL,11.0,WR,7.0,17.0,17.0,17
Derrick Henry,BAL,13.0,RB,11.0,18.0,20.2,19
Omarion Hampton,LAC,7.0,RB,10.0,19.0,16.4,16
Rashee Rice,KC,5.0,WR,10.0,20.0,24.2,25
Josh Allen,BUF,7.0,QB,1.0,21.0,25.2,27
Brock Bowers,LV,13.0,TE,2.0,22.0,21.4,22
Kenneth Walker III,KC,5.0,RB,12.0,23.0,20.8,20
Chase Brown,CIN,6.0,RB,9.0,24.0,16.4,15
A.J. Brown,NE,11.0,WR,8.0,25.0,21.0,21
Josh Jacobs,GB,11.0,RB,14.0,26.0,29.4,29
Nico Collins,HOU,8.0,WR,11.0,27.0,25.0,26
George Pickens,DAL,14.0,WR,9.0,28.0,24.0,24
Chris Olave,NO,8.0,WR,12.0,29.0,28.0,28
Garrett Wilson,NYJ,13.0,WR,17.0,30.0,39.4,39
Breece Hall,NYJ,13.0,RB,16.0,31.0,31.2,31
Javonte Williams,DAL,14.0,RB,17.0,32.0,32.4,32
DeVonta Smith,PHI,10.0,WR,14.0,33.0,35.2,34
Malik Nabers,NYG,8.0,WR,13.0,34.0,32.6,33
Lamar Jackson,BAL,13.0,QB,2.0,35.0,41.8,42
